date,max_temp,min_temp
2021-08-01,18.3,5.4
2021-08-02,20.7,5.2
2021-08-03,22.2,6.7
2021-08-04,21.7,7.8
2021-08-05,18.5,6.8
2021-08-06,20.6,3.3
2021-08-07,21.2,3.6
2021-08-08,20.2,5.9
2021-08-09,21.1,5.9
2021-08-10,23.0,6.2
2021-08-11,22.9,7.1
2021-08-12,23.9,7.0
2021-08-13,22.2,7.8
2021-08-14,23.8,8.5
2022-08-01,15.4,8.4
2022-08-02,16.9,7.2
2022-08-03,19.6,6.8
2022-08-04,17.8,7.2
2022-08-05,11.3,7.6
2022-08-06,18.0,3.9
2022-08-07,19.4,5.9
2022-08-08,16.5,7.3
2022-08-09,16.7,6.9
2022-08-10,17.0,5.9
2022-08-11,18.4,5.8
2022-08-12,19.1,6.1
2022-08-13,20.0,6.9
2022-08-14,20.1,5.4
2023-08-01,19.6,8.9
2023-08-02,18.9,6.3
2023-08-03,18.0,4.6
2023-08-04,19.0,3.1
2023-08-05,18.7,2.2
2023-08-06,20.6,3.5
2023-08-07,20.2,4.5
2023-08-08,19.3,4.7
2023-08-09,18.5,3.7
2023-08-10,18.6,4.8
2023-08-11,15.8,5.4
2023-08-12,18.8,3.7
2023-08-13,19.6,6.1
2023-08-14,16.4,6.8
2024-08-01,23.1,7.9
2024-08-02,20.0,9.3
2024-08-03,18.4,7.5
2024-08-04,21.1,6.0
2024-08-05,21.7,8.0
2024-08-06,23.1,9.6
2024-08-07,22.8,10.1
2024-08-08,22.9,10.3
2024-08-09,22.5,8.8
2024-08-10,22.1,10.2
2024-08-11,21.2,10.0
2024-08-12,17.9,8.2
2024-08-13,17.1,4.9
2024-08-14,18.2,5.3
2025-08-01,18.1,1.9
2025-08-02,18.8,2.3
2025-08-03,18.6,4.0
2025-08-04,17.0,3.8
2025-08-05,18.5,3.3
2025-08-06,19.7,4.7
2025-08-07,19.8,5.5
2025-08-08,21.3,4.1
2025-08-09,21.9,4.9
2025-08-10,22.4,6.0
2025-08-11,24.1,6.8
2025-08-12,23.3,7.1
2025-08-13,21.8,8.7
2025-08-14,20.2,6.8
